MLS Number,Status,Area,Street Number,Street Dir Prefix,Street Name,Street Type,Street Dir Suffix,Unit Number,# Beds Total,# Baths Full,# Baths Half,# Living,# Stories,# Garage Spaces,Year Built,Sqft Total,LP$SqFt,List Price,S $/SF,Sold/Lease Price,Sold/Lease Date,ADOM,CDOM 
5576710,Sold,DT,360,,Nueces,,,1113,1,1,0,1,1,0,2008,861,475.03,"$409,000",$475.03,"$409,000",07-15-2015,0,0
5589312,Sold,DT,54,,Rainey,ST,,816,1,1,0,2,1,1,2005,852,481.22,"$410,000",$480.46,"$409,350",10-13-2015,16,16
3231749,Sold,DT,360,,Nueces,ST,,4106,1,1,0,1,1,1,2008,748,554.14,"$414,500",$548.13,"$410,000",05-28-2015,136,136
3185586,Sold,DT,1801,,Lavaca,ST,,15M,1,2,0,1,1,1,1964,1565,268.37,"$420,000",$262.94,"$411,500",06-18-2015,224,224
4098269,Sold,DT,54,,Rainey,ST,,1116,1,1,0,2,1,1,2005,852,487.09,"$415,000",$485.33,"$413,500",04-24-2015,9,9
7593975,Sold,DT,410,E,5th,ST,,307,1,1,0,1,1,1,1999,1071,396.83,"$425,000",$387.49,"$415,000",04-02-2015,36,36
4757617,Sold,DT,360,,Nueces,ST,,2810,1,1,0,1,1,1,2008,770,551.95,"$425,000",$538.96,"$415,000",05-04-2015,32,32
7207223,Sold,DT,360,,Nueces,ST,,4108,1,1,0,1,1,1,2008,732,576.5,"$422,000",$571.04,"$418,000",06-19-2015,84,84
3544656,Sold,DT,40,N,Interstate 35,,,2D4,2,2,0,1,1,2,1983,1357,308.77,"$419,000",$308.77,"$419,000",08-31-2015,21,21
7389056,Sold,DT,710,,Colorado,ST,,H-2,1,1,0,1,1,2,1940,1047,405.92,"$425,000",$401.15,"$420,000",04-03-2015,6,6
1670852,Sold,DT,40,N,Interstate 35,,,5B1,2,2,0,1,1,2,1983,1288,322.98,"$416,000",$326.09,"$420,000",04-30-2015,2,2
3108252,Sold,DT,360,,Nueces,ST,,2201,1,1,0,1,1,1,2008,801,555.56,"$445,000",$530.59,"$425,000",02-02-2016,73,73
5190614,Sold,DT,710,,Colorado,ST,,B-3,1,1,0,1,1,1,1940,1180,368.64,"$435,000",$362.29,"$427,500",07-31-2015,53,53
1842615,Sold,DT,410,E,5th,ST,,110,1,1,1,1,2,1,1999,1356,323.75,"$439,000",$317.11,"$430,000",04-10-2015,70,70
5991153,Sold,DT,710,,Colorado,ST,,B-4,1,1,0,1,1,1,1940,1180,364.41,"$430,000",$364.41,"$430,000",04-28-2015,4,4
7219685,Sold,DT,800,,Brazos,ST,,901,2,2,0,1,1,1,1949,1170,367.52,"$430,000",$367.52,"$430,000",08-12-2015,3,3
8639582,Sold,DT,360,,Nueces,ST,,2910,1,1,0,1,1,1,2008,770,581.17,"$447,500",$558.44,"$430,000",02-29-2016,14,14
2868680,Sold,DT,54,,Rainey,ST,,PH14,1,1,0,2,1,1,2005,875,525.6,"$459,900",$493.03,"$431,400",07-15-2015,9,9
8852580,Sold,DT,360,,Nueces,ST,,2801,1,1,0,1,1,1,2008,801,548.06,"$439,000",$544.32,"$436,000",06-15-2015,22,22
1600336,Sold,DT,360,,Nueces,ST,,2701,1,1,0,1,1,1,2008,801,555.56,"$445,000",$545.57,"$437,000",10-09-2015,11,11
7133801,Sold,DT,1704,,West,Ave,,101,2,2,1,1,2,2,1986,1647,267.15,"$440,000",$265.94,"$438,000",07-08-2015,5,5
1870357,Sold,DT,54,,Rainey,ST,,1009,2,2,0,1,1,2,2005,1164,386.51,"$449,900",$376.72,"$438,500",03-09-2016,137,137
5173252,Sold,DT,1801,,Lavaca,ST,,2G,3,2,0,1,1,1,1964,1377,326.43,"$449,500",$319.54,"$440,000",06-01-2015,77,265
3312047,Sold,DT,555,E,5th,ST,,709,1,1,1,1,1,2,2004,1026,437.62,"$449,000",$433.72,"$445,000",06-30-2015,9,9
2434364,Sold,DT,40,N,Interstate 35,,,5A4,2,2,0,1,1,2,1983,1234,362.24,"$447,000",$362.24,"$447,000",04-30-2015,11,11
8795421,Sold,DT,360,,Nueces,ST,,2701,1,1,0,1,1,1,2008,801,573.03,"$459,000",$558.05,"$447,000",02-04-2016,51,51
4611858,Sold,DT,54,,Rainey,ST,,918,2,2,0,1,1,2,2005,1164,420.1,"$489,000",$386.60,"$450,000",01-15-2016,41,91
9476061,Sold,DT,360,,Nueces,ST,,2007,1,1,0,1,1,1,2008,852,539.85,"$459,950",$534.04,"$455,000",07-22-2015,5,5
4234633,Sold,DT,360,,Nueces,ST,,2107,1,1,0,1,1,1,2008,852,539.91,"$460,000",$534.04,"$455,000",08-28-2015,20,20
3865592,Sold,DT,1812,,West,Ave,,105,2,2,0,2,1,2,2007,1448,327.69,"$474,500",$316.99,"$459,000",07-30-2015,106,106
1426463,Sold,DT,311,W,5th,ST,,907,1,1,1,1,1,1,2002,1243,378.12,"$470,000",$370.07,"$460,000",03-18-2015,63,63
1419807,Sold,DT,311,W,5th,ST,,607,1,1,1,1,1,1,2002,1243,370.07,"$460,000",$370.07,"$460,000",04-24-2015,1,1
9989720,Sold,DT,710,,Colorado,ST,,J-10,2,2,0,1,M,1,1940,1287,369.08,"$475,000",$359.36,"$462,500",10-30-2015,63,63
6547937,Sold,DT,360,,NUECES,ST,,3707,1,1,0,1,1,1,2008,852,566.9,"$483,000",$554.34,"$472,300",05-05-2015,21,82
5363246,Sold,DT,360,,Nueces,ST,,3501,1,1,0,1,1,1,2008,801,636.7,"$510,000",$593.01,"$475,000",12-23-2015,74,74
