MLS Number,Status,Area,Street Number,Street Dir Prefix,Street Name,Street Type,Street Dir Suffix,Unit Number,# Beds Total,# Baths Full,# Baths Half,# Living,# Stories,# Garage Spaces,Year Built,Sqft Total,LP$SqFt,List Price,S $/SF,Sold/Lease Price,Sold/Lease Date,ADOM,CDOM 
9506307,Sold,DT,210,,Lavaca,ST,,2401,2,2,1,1,1,2,2011,1953,1021.51,"$1,995,000",$998.46,"$1,950,000",11-16-2015,10,10
5706113,Sold,DT,210,,Lavaca,ST,,2503,3,3,0,1,1,2,2011,2162,971.32,"$2,100,000",$913.51,"$1,975,000",03-11-2016,75,75
7319159,Sold,DT,98,,San Jacinto,BLVD,,1103,2,2,1,3,1,3,2010,2707,858.88,"$2,325,000",$831.18,"$2,250,000",01-15-2016,107,107
6818211,Sold,DT,200,,Congress,Ave,,38SE,2,2,1,1,1,3,2008,2082,1176.75,"$2,450,000","$1,119.12","$2,330,000",10-06-2015,11,11
2754611,Sold,DT,98,,San Jacinto,BLVD,,2102,2,2,1,3,1,3,2010,2692,995.54,"$2,680,000",$900.82,"$2,425,000",09-30-2015,105,105
2213425,Sold,DT,200,,CONGRESS,Ave,,32NW,2,2,1,1,1,3,2014,2822,955,"$2,695,000",$885.90,"$2,500,000",02-25-2016,41,41
4267705,Sold,DT,210,,LAVACA,ST,,2105,3,3,1,1,1,2,2011,3073,959.97,"$2,950,000",$927.43,"$2,850,000",10-29-2015,39,39
7183659,Sold,DT,98,,San Jacinto,BLVD,,2604,3,3,1,3,1,3,2010,3452,867.61,"$2,995,000",$867.61,"$2,995,000",12-02-2015,382,382
4350080,Sold,DT,210,,Lavaca,,,2405,3,2,1,1,1,2,2011,3498,1000.29,"$3,499,000",$886.22,"$3,100,000",12-23-2015,44,44
5073618,Sold,DT,200,,Congress,Ave,,34M,3,3,1,2,1,3,2008,3174,1023.94,"$3,250,000","$1,023.94","$3,250,000",10-21-2015,219,219
1522652,Sold,DT,200,,CONGRESS,Ave,,19DE,3,3,0,2,1,3,2008,3475,1005.76,"$3,495,000",$955.40,"$3,320,000",04-20-2015,47,124
9746054,Sold,DT,210,,Lavaca,,,3105,3,2,1,1,1,3,2011,3498,1100.63,"$3,850,000","$1,029.16","$3,600,000",01-27-2016,45,76
